team,year,conference,seed,wins,losses,win_pct,ps_per_game,pa_per_game,srs,sos,fg_per_game,fga_per_game,fg_pct,fg2_per_game,fg2a_per_game,fg2_pct,fg3_per_game,fg3a_per_game,fg3_pct,ft_per_game,fta_per_game,ft_pct,orb_per_game,drb_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,tov_per_game,pf_per_game,offensive_rating,defensive_rating,ncaa_wins,ncaa_loss
South Carolina,2024,SEC,6,26,7,0.788,72.1,67.6,10.98,6.48,25.4,57.9,0.439,17.4,34.1,0.509,8.1,23.8,0.339,13.1,18.4,0.711,11.4,24.2,35.6,15.4,4.8,3.2,10.1,16.2,110.4,103.5,,Oregon
Gonzaga,2024,West Coast,5,25,7,0.781,84.5,69.1,17.93,4.02,32.0,61.8,0.518,25.1,42.5,0.589,6.9,19.3,0.361,13.6,18.9,0.721,10.8,27.9,38.7,16.7,6.7,3.9,9.8,15.6,121.1,99.1,"McNeese State, Kansas",Purdue
Kansas,2024,Big 12,4,22,10,0.688,75.6,69.9,16.35,11.32,28.2,57.9,0.488,22.5,40.6,0.554,5.7,17.3,0.332,13.4,18.5,0.721,8.2,27.9,36.1,19.0,7.1,3.9,11.7,14.8,107.7,99.6,Samford,Gonzaga
Creighton,2024,Big East,3,23,9,0.719,80.4,69.9,20.07,9.53,29.0,60.0,0.484,18.3,30.9,0.592,10.7,29.1,0.368,11.7,14.8,0.788,8.4,29.7,38.1,16.8,3.8,4.1,10.6,11.5,116.2,100.9,"Akron, Oregon",Tennessee
Tennessee,2024,SEC,2,24,8,0.75,78.8,67.4,21.81,10.42,27.2,61.8,0.44,18.4,36.3,0.508,8.8,25.4,0.344,15.6,20.8,0.751,11.6,27.1,38.7,16.7,7.8,4.6,10.2,17.5,112.1,95.9,"Saint Peter's, Texas, Creighton",Purdue
Purdue,2024,Big Ten,1,29,4,0.879,82.3,69.0,24.93,11.6,28.4,58.3,0.488,20.3,38.1,0.533,8.2,20.2,0.404,17.3,24.1,0.72,12.2,28.2,40.4,18.5,5.4,3.6,11.3,13.7,119.5,100.1,"Grambling, Utah State, Gonzaga, Tennessee, NC State",Connecticut
Longwood,2024,Big South,16,21,13,0.618,74.7,68.5,-2.04,-4.76,26.6,58.7,0.453,20.9,41.8,0.499,5.7,16.9,0.341,15.8,23.0,0.687,13.4,24.9,38.4,12.7,7.0,2.5,12.7,18.3,108.5,99.4,,Houston
Western Kentucky,2024,C-USA,15,22,11,0.667,80.2,74.4,1.19,-2.91,29.3,62.9,0.466,22.4,42.7,0.525,6.9,20.2,0.34,14.8,20.6,0.72,10.6,29.3,39.9,13.4,7.6,3.2,13.8,18.4,105.6,97.9,,Marquette
Oakland,2024,Horizon,14,23,11,0.676,76.4,73.2,2.02,-1.24,26.8,60.2,0.446,18.0,35.3,0.51,8.8,24.9,0.355,13.9,18.5,0.751,10.6,25.3,35.9,14.5,6.6,2.8,11.0,15.1,110.5,105.8,Kentucky,NC State
Vermont,2024,America East,13,28,6,0.824,71.6,63.0,2.78,-3.31,25.7,56.6,0.455,17.1,31.5,0.544,8.6,25.1,0.342,11.6,16.2,0.716,7.7,27.0,34.6,13.7,5.9,3.9,9.2,13.9,109.1,96.0,,Duke
James Madison,2024,Sun Belt,12,31,3,0.912,83.2,69.6,8.19,-3.75,29.8,62.6,0.476,21.3,38.9,0.546,8.5,23.7,0.36,15.1,21.4,0.703,11.5,27.1,38.6,16.0,9.0,3.1,10.9,17.3,115.0,96.2,Wisconsin,Duke
NC State,2024,ACC,11,22,14,0.611,75.6,71.8,12.81,8.93,27.2,60.6,0.45,20.3,40.4,0.502,7.0,20.2,0.345,14.2,19.4,0.733,10.1,25.2,35.3,13.1,7.2,3.6,9.6,16.2,109.1,103.5,"Texas Tech, Oakland, Marquette, Duke",Purdue
Boise State,2024,Mountain West,10,22,10,0.688,75.1,67.3,13.31,7.35,26.0,58.0,0.449,18.2,35.0,0.52,7.8,23.0,0.34,15.3,20.8,0.736,11.6,25.7,37.3,12.2,5.7,2.4,11.1,16.7,111.4,99.8,,Colorado
Texas A&M,2024,SEC,9,20,14,0.588,76.0,72.0,13.35,9.32,25.7,64.0,0.402,18.6,39.9,0.468,7.1,24.1,0.293,17.5,24.7,0.707,17.4,25.4,42.8,11.4,6.9,3.0,9.6,17.0,111.4,105.5,Nebraska,Houston
Nebraska,2024,Big Ten,8,23,10,0.697,77.7,70.9,14.36,7.53,26.8,59.3,0.452,17.4,33.1,0.528,9.4,26.3,0.357,14.7,19.4,0.76,9.6,28.1,37.6,15.3,6.3,2.6,11.1,15.9,110.8,101.1,,Texas A&M
Florida,2024,SEC,7,24,11,0.686,85.6,79.2,15.17,8.81,29.9,65.3,0.458,22.1,42.8,0.518,7.8,22.6,0.345,17.9,25.1,0.715,14.6,27.6,42.3,15.2,6.7,5.3,11.7,18.4,115.1,106.5,,Colorado
Texas Tech,2024,Big 12,6,23,10,0.697,75.3,69.6,14.96,9.28,25.8,57.1,0.451,17.3,33.5,0.516,8.5,23.6,0.359,15.2,19.5,0.78,9.9,25.0,34.9,14.7,6.0,2.5,11.1,14.9,111.7,103.3,,NC State
Wisconsin,2024,Big Ten,5,22,13,0.629,74.7,70.0,16.01,11.35,26.4,57.4,0.461,19.3,37.0,0.522,7.1,20.4,0.349,14.7,19.4,0.755,10.1,23.9,34.0,12.7,6.2,1.6,9.9,16.5,112.0,105.0,,James Madison
Duke,2024,ACC,4,24,8,0.75,78.6,66.3,20.67,8.36,27.9,58.7,0.475,19.6,36.7,0.534,8.3,22.0,0.377,14.6,20.1,0.723,10.6,26.0,36.6,15.3,6.5,3.7,9.7,15.9,117.1,98.8,"Vermont, James Madison, Houston",NC State
Kentucky,2024,SEC,3,23,9,0.719,89.0,79.7,16.79,7.46,32.0,64.6,0.495,22.1,40.4,0.547,9.9,24.2,0.409,15.2,19.7,0.772,10.1,27.5,37.6,17.5,7.5,6.3,10.7,17.5,119.2,106.7,,Oakland
Marquette,2024,Big East,2,25,9,0.735,78.1,69.8,19.27,11.02,29.1,61.0,0.478,20.3,35.9,0.566,8.8,25.1,0.352,10.9,15.6,0.703,8.7,24.1,32.8,15.9,8.6,3.5,10.0,15.0,112.0,100.2,"Western Kentucky, Colorado",NC State
Houston,2024,Big 12,1,30,4,0.882,73.5,57.6,25.69,9.8,26.5,60.4,0.439,18.8,38.2,0.492,7.7,22.2,0.348,12.8,18.6,0.687,13.4,23.7,37.1,13.1,9.8,4.8,8.9,17.8,113.6,89.0,"Longwood, Texas A&M",Duke
Howard,2024,MEAC,16,18,16,0.529,74.9,74.3,-8.69,-8.02,24.8,55.2,0.449,16.8,33.6,0.5,8.0,21.6,0.371,17.3,23.1,0.751,11.3,24.6,35.9,13.9,6.1,2.8,15.5,18.9,106.5,105.6,,Wagner
Long Beach State,2024,Big West,15,21,14,0.6,77.4,76.0,-1.19,-1.19,27.6,62.2,0.444,22.2,44.5,0.499,5.4,17.7,0.305,16.8,23.8,0.709,12.5,26.4,38.9,15.3,7.9,4.2,12.6,17.2,105.4,103.5,,Arizona
Colgate,2024,Patriot,14,25,9,0.735,71.4,64.1,-0.31,-5.55,26.5,56.5,0.469,18.8,34.9,0.538,7.8,21.6,0.359,10.5,15.4,0.681,8.2,27.4,35.6,15.0,6.5,3.5,10.5,13.4,107.5,96.5,,Baylor
Charleston,2024,CAA,13,27,7,0.794,80.9,73.6,4.09,-2.38,28.7,65.1,0.442,18.2,34.5,0.529,10.5,30.6,0.343,12.9,17.9,0.722,13.1,26.7,39.8,15.3,6.3,3.1,9.9,15.9,114.6,104.2,,Alabama
Grand Canyon,2024,WAC,12,29,4,0.879,79.1,67.0,10.45,-0.52,26.4,57.4,0.46,19.4,36.5,0.531,7.0,20.8,0.336,19.3,25.8,0.749,11.8,26.4,38.1,12.1,8.3,5.5,12.3,17.9,112.9,95.6,Saint Mary's (CA),Alabama
New Mexico,2024,Mountain West,11,26,9,0.743,81.0,70.7,15.04,5.38,29.6,65.1,0.455,23.2,45.3,0.511,6.5,19.8,0.328,15.3,21.6,0.707,12.8,26.9,39.7,14.6,8.7,4.9,10.0,17.6,111.7,97.5,,Clemson
Nevada,2024,Mountain West,10,26,7,0.788,75.9,66.9,12.85,4.58,25.9,54.7,0.474,19.2,36.3,0.53,6.7,18.4,0.363,17.4,24.2,0.72,8.9,25.4,34.3,15.0,6.3,3.6,10.1,17.6,113.0,99.6,,Dayton
Michigan State,2024,Big Ten,9,19,14,0.576,72.9,66.1,17.72,10.89,27.1,58.8,0.461,20.6,40.9,0.504,6.5,17.9,0.363,12.2,17.2,0.708,10.1,24.6,34.7,15.9,7.1,3.8,10.0,16.6,109.4,99.1,Mississippi State,North Carolina
Mississippi State,2024,SEC,8,21,13,0.618,74.1,69.1,14.19,9.16,26.2,57.9,0.452,19.0,35.6,0.535,7.2,22.3,0.321,14.5,21.7,0.67,12.5,25.6,38.1,14.0,8.1,3.1,13.0,16.6,107.5,100.2,,Michigan State
Dayton,2024,Atlantic 10,7,26,7,0.788,74.2,66.5,13.45,5.73,25.2,53.1,0.474,15.8,29.5,0.534,9.4,23.5,0.399,14.4,19.5,0.74,8.0,25.5,33.5,14.6,5.5,3.9,10.4,13.5,114.1,102.2,Nevada,Arizona
Clemson,2024,ACC,6,21,11,0.656,77.4,71.2,16.2,10.04,27.5,58.8,0.469,19.3,35.3,0.547,8.2,23.4,0.351,14.1,18.1,0.78,9.1,27.3,36.3,14.8,4.6,3.8,10.1,16.3,113.4,104.3,"New Mexico, Baylor, Arizona",Alabama
Saint Mary's,2024,WCC,5,26,7,0.788,74.0,59.2,16.31,3.46,27.5,59.0,0.466,19.9,37.5,0.532,7.6,21.6,0.352,11.4,16.8,0.676,13.2,26.4,39.6,16.2,6.6,3.8,10.2,16.4,115.2,92.2,,Grand Canyon
Alabama,2024,SEC,4,21,11,0.656,90.1,81.2,20.69,11.8,30.7,64.5,0.476,19.5,34.5,0.566,11.2,29.9,0.373,17.6,22.8,0.772,12.8,26.9,39.6,15.9,6.9,4.4,11.8,19.8,121.1,109.2,"College of Charleston, Grand Canyon, North Carolina, Clemson",Connecticut
Baylor,2024,Big 12,3,23,10,0.697,80.4,71.1,19.5,10.71,27.6,57.2,0.483,19.0,35.1,0.542,8.6,22.1,0.389,16.5,22.6,0.732,11.4,23.7,35.1,14.7,6.7,3.1,12.0,16.5,117.8,104.2,Colgate,Clemson
Arizona,2024,Pac-12,2,25,8,0.758,87.1,72.1,24.54,9.45,31.2,64.5,0.484,23.3,42.9,0.544,7.9,21.6,0.366,16.8,23.4,0.717,13.1,29.5,42.6,18.5,8.3,3.7,11.9,16.4,116.8,96.6,"Long Beach State, Dayton",Clemson
North Carolina,2024,ACC,1,27,7,0.794,81.9,70.5,21.36,9.9,28.3,62.8,0.45,20.1,40.1,0.502,8.1,22.7,0.359,17.3,22.8,0.759,12.2,28.9,41.1,14.5,5.8,4.1,10.1,16.5,114.6,98.6,"Wagner, Michigan State",Alabama
Stetson,2024,ASUN,16,22,12,0.647,76.8,73.3,-5.09,-3.24,27.1,58.7,0.463,18.2,34.2,0.533,8.9,24.5,0.365,13.5,17.7,0.766,9.7,25.1,34.7,13.3,5.3,3.1,10.5,14.7,113.4,108.3,,Connecticut
South Dakota State,2024,Summit,15,22,12,0.647,76.4,71.1,0.52,-2.7,27.9,58.0,0.482,19.3,34.5,0.561,8.6,23.5,0.365,12.0,16.9,0.71,8.3,27.2,35.4,12.9,6.1,3.2,11.3,14.3,110.7,103.0,,Iowa State
Morehead State,2024,Ohio Valley,14,26,8,0.765,75.3,63.4,0.51,-5.52,27.0,57.7,0.467,17.6,31.7,0.555,9.4,26.1,0.361,11.9,16.9,0.706,11.6,27.6,39.2,15.0,5.9,4.6,11.8,15.8,113.7,95.8,,Illinois
Yale,2024,Ivy,13,22,9,0.71,74.7,67.5,4.63,0.41,27.8,59.7,0.467,20.5,38.8,0.529,7.3,20.8,0.351,11.7,16.5,0.707,9.9,26.6,36.5,15.0,6.2,3.2,9.6,15.1,111.2,100.5,Auburn,San Diego State
UAB,2024,American,12,23,11,0.676,77.5,75.1,5.14,3.73,26.8,59.6,0.449,20.6,40.8,0.506,6.1,18.8,0.327,17.8,23.8,0.746,12.9,25.1,38.0,13.5,6.7,4.5,11.6,15.9,111.2,107.8,,San Diego State
Duquesne,2024,Atlantic 10,11,24,11,0.686,70.6,66.7,7.35,4.68,24.9,57.0,0.436,17.4,34.8,0.498,7.5,22.2,0.34,13.2,18.4,0.72,10.5,24.3,34.8,13.4,7.5,4.3,11.7,17.1,105.5,99.7,Brigham Young,Illinois
Drake,2024,Missouri Valley,10,28,6,0.824,79.9,70.4,11.08,1.84,28.3,59.4,0.477,19.8,36.0,0.549,8.6,23.4,0.366,14.7,19.5,0.753,7.9,26.4,34.3,16.0,6.5,1.6,9.6,16.3,113.9,100.3,,Washington State
Northwestern,2024,Big Ten,9,21,11,0.656,73.3,69.1,12.77,8.5,26.2,57.6,0.455,18.1,36.7,0.492,8.2,21.0,0.39,12.7,16.9,0.752,8.5,22.9,31.4,15.6,7.0,3.1,8.8,17.6,111.2,104.7,Florida Atlantic,Connecticut
Florida Atlantic,2024,American,8,25,8,0.758,82.0,73.4,13.26,4.61,29.2,61.0,0.478,20.8,37.2,0.56,8.4,23.8,0.351,15.3,21.3,0.72,11.6,26.4,38.1,14.9,7.2,3.1,11.4,16.1,116.2,103.9,,Northwestern
Washington State,2024,Pac-12,7,24,9,0.727,73.5,66.7,14.02,7.19,27.1,58.5,0.463,20.7,39.7,0.522,6.4,18.8,0.339,13.0,18.5,0.704,11.2,26.5,37.6,12.4,5.2,4.9,10.9,16.6,109.9,99.7,Drake,Iowa State
BYU,2024,Big 12,6,23,10,0.697,81.4,69.9,19.33,7.86,29.2,63.4,0.46,18.1,31.4,0.575,11.1,32.0,0.348,11.9,16.1,0.742,11.9,27.6,39.5,18.5,5.9,3.0,10.7,17.7,116.4,100.0,,Duquesne
San Diego State,2024,Mountain West,5,24,10,0.706,74.1,66.7,14.68,8.37,25.8,58.6,0.44,18.8,36.4,0.517,7.0,22.2,0.315,15.5,21.2,0.733,11.7,26.1,37.8,13.0,7.4,4.0,11.2,17.5,108.7,97.8,"UAB, Yale",Connecticut
Auburn,2024,SEC,4,27,7,0.794,83.1,68.3,22.46,7.66,28.9,60.6,0.476,20.9,37.9,0.551,8.0,22.7,0.352,17.4,23.2,0.75,11.2,26.6,37.8,17.8,7.4,6.1,10.7,19.4,117.2,96.4,,Yale
Illinois,2024,Big Ten,3,26,8,0.765,83.4,73.3,19.56,9.54,29.1,62.0,0.469,20.7,38.1,0.544,8.3,23.9,0.349,16.9,23.0,0.736,12.8,28.1,40.9,13.3,4.4,3.8,10.6,15.2,118.2,104.0,"Morehead State, Duquesne, Iowa State",Connecticut
Iowa State,2024,Big 12,2,27,7,0.794,75.3,61.5,22.3,8.51,27.1,58.5,0.463,20.4,39.9,0.512,6.6,18.6,0.358,14.5,20.7,0.702,10.6,23.3,33.9,15.7,10.3,3.1,10.5,16.5,110.9,90.6,"South Dakota State, Washington State",Illinois
UConn,2024,Big East,1,31,3,0.912,81.4,63.4,26.7,8.7,29.4,59.2,0.497,20.9,35.4,0.591,8.5,23.8,0.358,14.1,18.9,0.743,11.7,27.1,38.8,18.7,6.2,5.4,9.6,16.3,123.3,96.0,"Stetson, Northwestern, San Diego State, Illinois, Alabama, Purdue",
Howard,2023,MEAC,16,22,12,0.647,75.3,72.6,-5.04,-5.14,26.7,58.2,0.458,18.6,36.7,0.508,8.1,21.5,0.374,13.8,19.4,0.713,11.6,24.1,35.8,14.9,7.2,3.1,16.4,17.5,104.4,100.8,,Kansas
UNC Asheville,2023,Big South,15,27,7,0.794,74.4,69.1,-1.74,-4.35,25.6,54.0,0.475,17.8,33.8,0.527,7.8,20.2,0.388,15.3,22.1,0.694,8.4,26.4,34.8,12.7,6.3,4.0,14.2,15.5,105.8,98.2,,UCLA
Grand Canyon,2023,WAC,14,24,11,0.686,75.2,67.2,4.42,1.27,25.9,56.1,0.462,16.9,32.6,0.519,9.0,23.4,0.383,14.4,20.1,0.716,10.1,26.5,36.6,12.6,4.9,3.2,11.9,18.0,111.5,99.8,,Gonzaga
Iona,2023,MAAC,13,27,7,0.794,76.0,65.6,7.61,-2.76,28.0,61.0,0.459,20.9,41.5,0.504,7.1,19.5,0.362,12.9,17.7,0.732,11.1,24.5,35.6,14.9,7.5,5.5,10.5,16.2,110.1,95.0,,Connecticut
VCU,2023,Atlantic 10,12,27,7,0.794,70.9,62.9,9.89,1.95,24.7,53.3,0.463,18.6,35.9,0.519,6.1,17.4,0.348,15.4,22.2,0.696,9.3,23.9,33.2,13.0,8.9,4.6,13.4,16.4,103.8,92.2,,Saint Mary's (CA)
Arizona State,2023,Pac–12,11,22,12,0.647,71.1,68.0,11.29,8.18,25.3,60.1,0.421,17.7,36.4,0.485,7.6,23.6,0.322,12.9,18.8,0.689,11.0,25.6,36.5,14.3,7.1,4.7,11.7,18.6,101.9,97.4,Nevada,TCU
Boise State,2023,Mountain West,10,24,9,0.727,72.1,64.6,12.78,6.21,25.8,57.0,0.453,18.0,35.4,0.509,7.8,21.6,0.362,12.6,17.3,0.733,9.0,26.7,35.7,11.3,5.0,2.9,11.1,16.3,106.8,95.8,,Northwestern
Illinois,2023,Big Ten,9,20,12,0.625,74.3,67.2,14.8,7.65,26.5,59.0,0.449,18.9,34.3,0.551,7.6,24.7,0.308,13.7,20.2,0.679,11.1,26.7,37.8,12.4,6.9,5.6,12.9,16.9,105.7,95.5,,Arkansas
Arkansas,2023,SEC,8,20,13,0.606,74.1,67.9,15.98,9.87,26.7,57.3,0.466,21.7,41.4,0.524,5.0,15.9,0.313,15.7,22.5,0.698,10.4,25.0,35.3,12.8,8.4,5.1,12.7,19.3,105.1,96.4,"Illinois, Kansas",Connecticut
Northwestern,2023,Big Ten,7,21,11,0.656,67.7,62.8,13.68,8.71,23.6,57.9,0.407,15.9,34.1,0.467,7.6,23.7,0.321,13.0,17.2,0.757,10.3,24.2,34.5,12.8,7.9,3.9,9.6,16.1,103.5,95.9,Boise State,UCLA
TCU,2023,Big 12,6,21,12,0.636,75.3,68.4,15.61,8.78,27.6,60.8,0.453,21.9,42.6,0.515,5.6,18.2,0.31,14.5,20.7,0.699,11.5,24.3,35.8,16.1,8.0,4.7,11.9,16.5,105.8,96.2,Arizona State,Gonzaga
Saint Mary's,2023,West Coast,5,26,7,0.788,70.7,60.1,17.41,7.18,25.4,55.8,0.455,17.9,35.2,0.507,7.5,20.6,0.365,12.4,17.9,0.694,10.6,24.7,35.3,12.5,6.8,3.5,10.7,16.5,109.6,93.3,Virginia Commonwealth,Connecticut
UConn,2023,Big East,4,25,8,0.758,78.6,64.1,22.95,8.51,27.7,59.8,0.464,18.7,34.9,0.536,9.1,24.9,0.363,14.0,18.4,0.761,13.0,26.3,39.3,17.5,6.3,4.9,12.9,17.7,114.9,93.8,"Iona, Saint Mary's (CA), Arkansas, Gonzaga, Miami (FL), San Diego State",
Gonzaga,2023,West Coast,3,28,5,0.848,86.1,73.4,18.98,8.04,32.1,61.7,0.521,24.6,41.8,0.588,7.5,19.9,0.379,14.4,20.8,0.693,10.4,26.8,37.2,16.3,7.2,3.4,10.7,16.6,119.5,101.8,"Grand Canyon, TCU, UCLA",Connecticut
UCLA,2023,Pac–12,2,29,5,0.853,74.1,60.7,22.11,8.65,27.9,60.7,0.46,21.8,43.1,0.506,6.1,17.6,0.349,12.2,16.6,0.731,11.3,24.0,35.3,14.5,8.4,3.8,10.0,15.5,110.3,90.3,"UNC Asheville, Northwestern",Gonzaga
Kansas,2023,Big 12,1,27,7,0.794,75.4,68.1,19.2,11.84,27.8,59.5,0.468,20.9,39.4,0.53,7.0,20.1,0.347,12.8,17.8,0.72,9.8,26.1,35.9,16.4,8.8,3.9,12.3,16.6,106.8,96.3,Howard,Arkansas
Northern Kentucky,2023,Horizon,16,22,12,0.647,67.8,63.5,-0.83,-2.89,24.3,57.1,0.426,16.2,33.4,0.485,8.1,23.6,0.342,11.1,15.9,0.696,11.3,21.2,32.5,13.4,9.4,2.5,11.3,15.3,104.8,98.3,,Houston
Colgate,2023,Patriot,15,26,8,0.765,78.1,69.3,2.2,-5.86,29.8,58.2,0.511,21.6,38.0,0.569,8.2,20.3,0.403,10.4,15.7,0.661,8.0,25.7,33.7,18.2,7.1,2.9,10.2,12.5,114.5,101.7,,Texas
Kennesaw State,2023,ASUN,14,26,8,0.765,75.0,69.0,0.6,-2.06,26.6,57.7,0.461,18.4,35.4,0.521,8.2,22.4,0.365,13.7,20.7,0.661,9.6,25.6,35.3,14.3,7.9,2.7,12.4,18.0,106.4,97.8,,Xavier
Kent State,2023,MAC,13,28,6,0.824,76.1,65.9,7.53,-1.22,27.3,60.8,0.45,19.5,37.4,0.521,7.9,23.4,0.336,13.6,18.7,0.726,11.0,24.7,35.7,12.3,8.8,3.9,11.4,18.8,108.9,94.2,,Indiana
Drake,2023,Missouri Valley,12,27,7,0.794,74.8,63.9,7.84,-1.14,27.2,58.1,0.469,19.3,36.6,0.526,7.9,21.5,0.37,12.4,16.2,0.767,7.9,27.8,35.7,13.7,5.3,2.6,10.5,14.9,109.2,93.3,,Miami (FL)
Mississippi State,2023,SEC,11,21,12,0.636,65.7,61.0,11.43,6.69,24.0,56.9,0.421,18.8,37.3,0.504,5.2,19.7,0.266,12.5,19.3,0.647,12.9,24.9,37.9,14.2,8.6,3.4,12.8,15.2,99.8,92.6,,Pittsburgh
Penn State,2023,Big Ten,10,22,13,0.629,72.2,68.2,13.04,9.02,26.4,57.1,0.463,16.0,30.2,0.531,10.4,26.9,0.387,9.0,12.1,0.739,6.1,26.4,32.6,13.7,4.4,2.1,9.0,15.5,110.4,104.2,Texas A&M,Texas
Auburn,2023,SEC,9,20,12,0.625,72.8,67.7,14.35,9.29,25.7,58.6,0.439,19.2,37.9,0.507,6.5,20.6,0.315,14.8,21.3,0.696,11.6,24.6,36.2,14.1,7.7,5.1,12.2,19.3,105.6,98.3,Iowa,Houston
Iowa,2023,Big Ten,8,19,13,0.594,80.1,74.7,14.08,8.69,28.5,62.9,0.453,20.5,39.3,0.521,8.0,23.6,0.34,15.0,20.3,0.738,12.1,24.5,36.6,16.4,6.5,3.4,9.8,14.8,113.7,106.0,,Auburn
Texas A&M,2023,SEC,7,25,9,0.735,72.8,66.5,13.76,7.42,23.9,55.2,0.432,17.7,36.2,0.488,6.2,19.0,0.326,18.9,24.9,0.759,12.4,24.4,36.8,12.5,6.7,2.3,12.3,18.2,108.5,99.0,,Penn State
Iowa State,2023,Big 12,6,19,13,0.594,67.6,62.6,15.36,10.39,25.3,57.0,0.443,18.9,37.7,0.5,6.4,19.3,0.331,10.7,15.9,0.67,11.5,22.2,33.7,13.8,8.8,2.9,12.9,19.2,102.2,94.6,,Pittsburgh
Miami (FL),2023,ACC,5,25,7,0.781,79.1,71.9,13.97,6.84,28.6,59.6,0.48,21.1,39.2,0.538,7.5,20.4,0.368,14.4,18.3,0.784,10.4,24.4,34.7,14.5,7.3,3.1,11.1,14.2,114.3,104.0,"Drake, Indiana, Houston, Texas",Connecticut
Indiana,2023,Big Ten,4,22,11,0.667,74.7,68.7,14.94,8.88,28.4,58.4,0.486,22.7,42.9,0.529,5.7,15.5,0.368,12.2,17.2,0.711,9.2,26.5,35.7,15.2,5.8,5.1,11.5,17.1,109.0,100.1,Kent State,Miami (FL)
Xavier,2023,Big East,3,25,9,0.735,80.9,74.1,16.03,9.16,30.0,61.0,0.492,22.6,42.0,0.538,7.4,19.0,0.39,13.6,19.1,0.71,10.3,27.5,37.7,19.1,6.4,3.2,12.4,16.0,112.1,102.6,"Kennesaw State, Pittsburgh",Texas
Texas,2023,Big 12,2,26,8,0.765,78.0,67.8,20.56,10.43,28.5,60.2,0.473,21.3,39.4,0.54,7.2,20.8,0.347,13.8,18.4,0.748,9.6,24.5,34.1,16.2,7.9,3.6,11.6,17.4,110.1,95.8,"Colgate, Penn State, Xavier",Miami (FL)
Houston,2023,American,1,31,3,0.912,74.9,57.5,22.2,4.79,27.3,59.5,0.458,19.6,37.0,0.531,7.7,22.6,0.34,12.6,17.2,0.733,12.8,26.1,38.9,14.7,7.9,4.9,10.0,16.7,115.5,88.6,"Northern Kentucky, Auburn",Miami (FL)
Texas Southern,2023,SWAC,16,14,20,0.412,69.2,71.9,-10.56,-5.05,25.5,59.9,0.427,20.9,43.1,0.485,4.7,16.8,0.277,13.5,20.3,0.664,11.6,25.9,37.5,11.8,6.7,3.3,14.6,18.8,95.6,99.4,,FDU
