team,year,ps_per_game,pa_per_game,srs,sos,fg_per_game,fga_per_game,fg_pct,fg2_per_game,fg2a_per_game,fg2_pct,fg3_per_game,fg3a_per_game,fg3_pct,ft_per_game,fta_per_game,ft_pct,orb_per_game,drb_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,tov_per_game,pf_per_game,offensive_rating,defensive_rating
Minnesota,1994,74.3,66.1,19.06,10.27,27.5,59.9,0.459,22.1,45.0,0.49,5.4,14.9,0.363,13.9,20.0,0.697,,,36.8,17.3,7.5,2.4,12.6,18.3,,
Virginia,1994,64.1,65.7,9.64,11.26,22.5,58.3,0.387,18.2,44.4,0.41,4.3,13.8,0.312,14.7,22.3,0.661,,,38.8,12.2,6.1,4.9,14.7,19.7,,
Cincinnati,1994,77.7,68.5,15.3,6.18,26.9,62.9,0.428,19.0,41.2,0.461,7.9,21.7,0.365,15.9,23.3,0.685,,,39.7,13.5,7.9,2.5,14.9,19.2,,
Wisconsin,1994,77.9,72.4,15.34,9.93,28.1,60.5,0.465,20.4,39.5,0.516,7.8,21.0,0.369,13.9,20.7,0.671,,,37.6,16.3,6.9,4.7,15.5,20.4,,
New Mexico,1994,77.7,67.5,9.5,0.88,26.0,57.7,0.45,16.3,32.5,0.501,9.7,25.2,0.384,16.1,22.0,0.733,,,39.6,13.2,5.3,3.6,12.6,15.0,,
Southern Illinois,1994,79.0,70.9,7.09,0.37,28.9,59.3,0.488,24.0,45.5,0.528,4.9,13.7,0.357,16.3,24.0,0.678,,,39.0,16.2,7.7,3.4,14.9,19.2,,
UW–Green Bay,1994,66.4,55.1,9.47,-1.89,24.2,49.4,0.49,19.9,37.8,0.526,4.4,11.6,0.374,13.6,17.9,0.761,,,32.4,17.1,7.3,2.5,12.9,17.4,,
Hawaii,1994,72.0,74.5,1.58,4.1,26.5,60.7,0.437,20.5,43.9,0.466,6.1,16.8,0.362,12.8,19.7,0.653,,,35.4,15.9,5.8,3.9,14.7,19.8,,
Boise State,1994,72.5,69.0,2.1,0.21,28.3,59.3,0.477,25.1,48.7,0.515,3.2,10.6,0.302,12.7,21.6,0.59,,,36.6,17.3,8.9,4.8,16.2,18.5,,
Loyola (MD),1994,78.6,78.7,-3.14,-3.07,27.0,61.4,0.44,21.2,44.0,0.482,5.8,17.4,0.335,18.7,27.2,0.688,,,37.8,15.6,8.8,1.6,18.0,20.1,,
Navy,1994,74.9,73.6,-7.54,-8.88,26.8,58.6,0.457,20.7,43.0,0.482,6.0,15.6,0.388,15.4,24.5,0.627,,,39.4,15.4,7.8,2.7,16.9,22.0,,
Wake Forest,1995,71.4,62.8,19.5,10.91,24.8,53.0,0.468,17.8,33.8,0.528,7.0,19.2,0.363,14.8,19.4,0.764,,,35.8,13.2,5.3,5.6,13.6,14.1,,
UMass,1995,80.9,65.7,23.19,8.07,29.4,63.6,0.462,24.1,48.1,0.501,5.3,15.5,0.342,16.7,25.4,0.659,,,44.3,17.1,7.8,8.0,14.7,19.5,,
