team,year,ps_per_game,pa_per_game,srs,sos,fg_per_game,fga_per_game,fg_pct,fg2_per_game,fg2a_per_game,fg2_pct,fg3_per_game,fg3a_per_game,fg3_pct,ft_per_game,fta_per_game,ft_pct,orb_per_game,drb_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,tov_per_game,pf_per_game,offensive_rating,defensive_rating
Miami (FL),1999,72.6,65.0,16.8,9.2,26.4,55.7,0.473,22.3,43.4,0.513,4.1,12.3,0.333,15.8,22.6,0.699,13.0,26.4,39.3,15.3,8.6,5.3,19.2,17.4,99.9,89.4
Cincinnati,1999,73.9,61.2,20.13,7.88,27.0,58.2,0.464,21.9,42.8,0.513,5.0,15.4,0.327,15.0,22.0,0.68,14.4,24.7,39.1,14.1,7.8,4.6,14.5,18.7,107.8,89.2
Tennessee,1999,72.6,65.0,14.18,6.55,24.0,56.8,0.423,17.3,36.6,0.473,6.7,20.2,0.332,17.9,25.7,0.696,13.3,25.4,38.7,13.7,8.7,6.3,16.1,18.4,101.6,90.9
Wisconsin,1999,62.1,55.2,17.29,10.38,21.4,49.2,0.435,15.0,31.3,0.481,6.4,17.9,0.357,12.9,17.4,0.74,8.6,21.1,29.6,13.5,7.0,2.4,11.8,18.3,102.0,90.6
Temple,1999,66.6,58.5,17.06,8.97,23.5,56.7,0.414,17.0,35.7,0.475,6.5,21.0,0.309,13.2,20.2,0.654,14.6,21.8,36.4,12.8,10.0,3.7,10.7,15.1,107.1,94.1
Texas,1999,68.4,64.9,10.89,7.2,23.4,55.1,0.424,18.6,40.3,0.461,4.8,14.8,0.324,16.9,26.0,0.65,14.3,24.7,39.0,11.5,8.2,5.1,16.1,17.0,99.1,94.0
College of Charleston,1999,72.8,59.2,5.98,-6.62,26.8,54.9,0.488,22.3,42.6,0.522,4.5,12.3,0.367,14.8,20.9,0.706,12.7,24.3,37.0,14.0,9.1,6.3,14.4,16.5,109.1,88.6
Tulsa,1999,70.3,63.7,10.74,4.46,23.5,54.1,0.435,16.8,34.9,0.48,6.8,19.2,0.352,16.5,25.0,0.659,13.0,25.6,38.6,14.0,8.8,5.6,18.0,20.3,98.9,89.6
Purdue,1999,68.5,65.7,13.23,10.44,23.9,54.5,0.439,18.5,37.6,0.493,5.4,16.9,0.318,15.3,22.8,0.671,12.9,20.8,33.6,14.2,8.1,3.2,15.0,16.1,101.6,97.4
Kent State,1999,71.9,63.5,7.22,2.72,26.1,58.5,0.446,20.5,42.3,0.484,5.6,16.2,0.346,14.1,20.7,0.684,13.0,21.9,34.9,15.4,9.2,3.1,13.9,18.6,104.1,92.0
Delaware,1999,77.2,67.7,1.6,-7.92,26.8,57.3,0.468,20.1,39.3,0.511,6.7,17.9,0.372,17.0,23.4,0.726,10.2,26.1,36.3,14.5,7.5,4.5,14.7,17.3,106.0,93.0
George Mason,1999,73.8,67.7,4.57,-0.88,27.5,60.4,0.456,21.0,42.3,0.497,6.5,18.1,0.358,12.2,20.0,0.613,13.7,22.3,36.1,13.3,10.1,4.5,14.8,18.3,103.6,95.0
Lafayette,1999,72.2,66.2,-2.78,-7.32,23.6,54.7,0.432,15.7,31.3,0.5,7.9,23.3,0.34,17.1,24.3,0.703,10.7,25.0,35.7,15.5,8.6,4.1,14.8,19.6,102.2,93.7
Florida A&M,1999,72.6,77.5,-14.6,-9.76,24.8,64.0,0.387,20.0,46.9,0.426,4.8,17.1,0.281,18.2,29.2,0.624,18.3,25.4,43.7,10.2,9.8,3.0,18.6,23.7,93.1,99.3
Auburn,1999,81.2,61.6,24.6,5.0,29.5,68.0,0.434,22.4,47.7,0.47,7.1,20.4,0.348,15.1,23.2,0.65,19.5,24.5,44.0,14.0,9.9,3.4,12.9,19.0,112.4,85.3
Maryland,1999,84.5,66.4,26.13,9.04,30.7,62.0,0.495,25.3,47.2,0.536,5.4,14.8,0.365,17.7,25.2,0.701,13.6,25.9,39.5,19.8,12.7,5.9,16.7,19.8,109.8,86.3
St. John's,1999,79.0,65.4,22.69,9.07,28.9,63.1,0.459,22.8,45.9,0.496,6.1,17.1,0.357,15.1,22.1,0.682,15.8,24.8,40.6,16.7,9.9,3.3,13.5,16.6,111.2,92.0
Ohio State,1999,74.9,64.8,19.03,9.51,27.4,58.6,0.468,21.3,41.6,0.513,6.1,17.0,0.357,14.0,22.9,0.611,13.3,22.9,36.2,13.8,8.3,4.1,14.1,18.1,106.5,92.3
UCLA,1999,77.2,70.7,15.28,8.86,29.0,63.9,0.454,23.7,47.9,0.496,5.3,16.0,0.328,13.9,23.3,0.596,15.5,23.2,38.6,15.7,9.9,3.6,17.0,23.2,101.5,93.0
Indiana,1999,75.4,69.6,17.21,11.35,27.1,57.8,0.469,21.4,42.1,0.509,5.7,15.7,0.361,15.5,22.3,0.697,10.9,24.4,35.3,16.6,7.6,3.4,14.9,17.3,104.2,96.1
Louisville,1999,76.9,69.8,15.38,8.28,28.1,59.7,0.471,21.7,40.8,0.532,6.4,18.9,0.339,14.2,20.9,0.678,13.6,21.4,35.1,16.8,9.4,4.9,16.7,21.4,105.9,96.1
Syracuse,1999,72.3,63.2,15.84,7.62,26.6,59.5,0.448,21.1,41.6,0.507,5.6,17.9,0.311,13.5,20.3,0.663,14.7,25.0,39.7,16.3,9.9,6.9,16.4,17.9,101.8,89.0
Oklahoma State,1999,71.5,63.1,12.61,5.95,25.0,56.5,0.443,18.2,37.6,0.485,6.8,18.9,0.361,14.6,20.9,0.701,12.1,23.2,35.3,17.0,7.7,2.9,13.2,17.0,105.9,93.4
Creighton,1999,76.0,68.6,12.26,4.87,25.8,56.7,0.455,18.2,36.7,0.495,7.6,19.9,0.382,16.8,23.5,0.714,13.7,22.6,36.3,14.5,9.2,2.9,15.4,19.3,109.2,98.6
George Washington,1999,79.5,74.0,11.06,5.54,27.6,66.9,0.413,21.4,46.8,0.457,6.2,20.1,0.31,18.0,24.9,0.723,17.0,22.2,39.2,15.2,10.6,3.0,14.5,22.4,104.6,97.3
Murray State,1999,78.5,67.1,6.76,-5.24,29.1,62.1,0.469,23.4,45.6,0.514,5.7,16.5,0.344,14.5,21.4,0.681,15.8,25.3,41.1,15.2,8.3,3.4,15.0,17.4,110.1,94.1
Samford,1999,72.9,62.7,0.26,-9.07,24.3,49.6,0.49,15.0,24.2,0.622,9.3,25.4,0.365,15.1,21.9,0.688,8.3,21.4,29.7,16.1,7.8,3.1,14.4,18.0,110.1,94.6
Valparaiso,1999,72.7,63.9,4.39,-3.64,26.1,55.5,0.47,19.6,36.3,0.54,6.5,19.3,0.339,14.0,19.8,0.707,12.9,25.2,38.0,16.4,6.4,4.6,15.7,17.4,107.9,94.9
Winthrop,1999,68.8,63.2,-6.67,-8.71,23.2,53.7,0.432,16.4,34.4,0.478,6.8,19.3,0.349,15.6,23.9,0.655,12.6,23.0,35.7,14.3,7.4,2.7,15.2,18.9,102.0,93.7
Michigan State,1999,71.7,59.5,22.64,10.91,26.8,56.6,0.474,22.3,43.4,0.515,4.5,13.2,0.34,13.5,18.4,0.733,14.8,21.4,36.3,15.0,7.8,2.6,14.0,18.1,111.5,92.5
Utah,1999,71.3,55.4,17.83,3.17,26.2,54.8,0.477,19.7,36.2,0.546,6.4,18.6,0.345,12.5,17.9,0.699,12.3,23.7,36.0,16.0,7.2,3.7,11.8,17.1,113.8,88.4
Kentucky,1999,75.4,62.7,22.71,10.01,27.9,58.5,0.478,21.8,40.2,0.543,6.1,18.3,0.334,13.4,21.0,0.639,14.2,25.6,39.7,16.4,7.7,5.4,14.8,17.0,109.1,90.7
Arizona,1999,82.2,75.2,15.31,8.35,28.3,60.5,0.468,23.3,46.4,0.503,4.9,14.1,0.35,20.7,29.1,0.71,15.1,26.6,41.7,14.4,7.3,3.2,16.8,18.0,108.6,99.4
UNC Charlotte,1999,68.7,65.3,11.29,7.6,23.3,55.9,0.417,15.9,36.1,0.441,7.4,19.8,0.374,14.7,21.8,0.673,13.6,22.5,36.1,12.7,7.1,2.8,13.6,19.1,103.4,98.3
Kansas,1999,72.1,64.5,16.3,9.17,26.5,59.1,0.448,21.5,44.5,0.483,5.0,14.6,0.342,14.2,21.5,0.66,14.0,26.9,40.9,15.8,8.0,4.3,15.6,17.9,101.6,90.9
Washington,1999,74.2,71.5,11.64,10.04,25.8,54.2,0.477,20.9,40.1,0.522,4.9,14.1,0.348,17.7,26.5,0.667,10.4,25.1,35.5,15.3,6.5,3.2,16.3,16.9,102.0,98.3
Villanova,1999,75.0,70.7,12.01,7.88,26.1,58.3,0.447,19.1,38.9,0.49,7.0,19.4,0.36,15.8,21.7,0.732,13.1,23.8,37.0,15.1,7.3,4.6,15.3,17.4,106.4,100.4
Ole Miss,1999,77.0,67.1,14.97,8.3,27.6,59.0,0.468,21.8,40.6,0.536,5.8,18.4,0.318,15.9,25.3,0.628,12.8,23.5,36.3,16.5,9.9,4.0,15.0,20.5,105.4,91.9
Miami (OH),1999,67.6,60.4,11.6,4.41,24.0,53.4,0.449,17.9,35.5,0.505,6.0,17.9,0.337,13.6,17.8,0.765,9.8,22.7,32.5,12.1,6.7,1.9,11.9,18.3,105.9,94.7
Evansville,1999,75.8,71.8,5.9,3.74,26.6,52.7,0.505,19.7,35.6,0.553,6.9,17.1,0.407,15.6,20.2,0.772,8.1,24.4,32.5,17.2,6.3,1.8,15.8,17.9,108.1,102.4
Rhode Island,1999,72.0,68.0,9.56,5.62,26.7,57.9,0.461,22.8,46.4,0.49,3.9,11.5,0.342,14.7,22.2,0.663,14.4,25.7,40.1,14.2,5.9,4.5,14.9,16.8,104.7,98.9
Oklahoma,1999,68.1,60.0,13.28,4.96,23.5,55.9,0.421,15.2,34.5,0.442,8.3,21.4,0.388,12.7,19.5,0.651,13.0,24.0,37.0,13.6,6.9,3.8,14.0,18.5,102.8,90.6
New Mexico State,1999,68.9,65.1,2.36,-0.68,24.8,53.4,0.464,18.7,37.2,0.502,6.1,16.2,0.376,13.3,20.2,0.659,11.7,22.5,34.2,12.6,7.0,2.6,13.9,17.5,105.3,99.5
Arkansas State,1999,73.5,68.7,3.32,-0.72,26.6,58.3,0.457,21.3,42.0,0.507,5.3,16.3,0.326,15.0,21.8,0.689,12.0,22.3,34.3,14.9,8.8,3.4,15.0,19.3,102.7,95.9
Mount St. Mary's,1999,68.3,69.3,-7.35,-6.35,25.2,58.8,0.429,18.6,39.2,0.474,6.6,19.6,0.337,11.3,16.4,0.689,11.4,22.2,33.6,14.0,8.3,4.1,14.7,18.5,97.9,99.3
Connecticut,1999,77.2,61.3,24.73,8.79,27.4,58.6,0.467,22.6,44.6,0.506,4.8,14.1,0.344,17.6,24.1,0.732,14.0,26.3,40.3,15.3,8.0,4.2,14.5,16.7,109.4,86.8
Stanford,1999,73.5,60.8,22.23,10.36,24.3,55.5,0.438,18.4,38.4,0.479,5.9,17.1,0.345,19.1,27.0,0.706,13.9,26.7,40.7,15.6,5.7,2.9,13.2,16.7,108.9,90.1
North Carolina,1999,71.4,64.9,16.77,10.24,25.5,54.1,0.471,20.4,40.6,0.502,5.1,13.5,0.38,15.2,21.2,0.718,12.8,27.1,39.9,15.9,5.6,3.9,15.6,14.9,106.8,97.0
Arkansas,1999,78.7,71.9,12.97,6.14,28.8,64.9,0.444,20.1,41.1,0.489,8.7,23.8,0.366,12.3,18.6,0.663,14.3,23.0,37.2,16.6,9.8,4.3,14.5,18.6,106.7,97.4
Iowa,1999,73.9,70.0,15.37,11.44,24.7,53.4,0.463,18.4,36.6,0.504,6.3,16.8,0.373,18.2,26.0,0.701,13.3,21.6,34.9,15.2,8.9,2.7,17.7,18.1,105.3,99.7
Florida,1999,80.3,70.2,15.76,5.7,26.8,56.7,0.473,17.5,32.1,0.545,9.3,24.6,0.379,17.3,24.5,0.703,11.5,24.2,35.7,16.0,10.0,3.8,17.9,19.8,107.0,93.6
Minnesota,1999,68.9,65.2,13.53,9.92,25.5,56.3,0.453,20.8,43.5,0.477,4.8,12.8,0.373,13.1,19.3,0.68,13.0,25.1,38.1,15.3,7.8,5.9,14.7,18.1,101.9,96.5
Missouri,1999,71.8,63.2,12.5,3.99,25.6,57.5,0.445,19.3,41.1,0.47,6.2,16.3,0.38,14.4,22.3,0.648,11.6,26.1,37.7,14.2,8.8,3.7,14.6,17.9,101.1,89.1
New Mexico,1999,75.2,67.8,7.84,0.62,26.1,56.1,0.466,18.9,36.4,0.518,7.3,19.6,0.37,15.6,20.8,0.751,11.1,24.8,35.9,14.2,6.6,3.3,12.6,13.6,111.0,100.1
Gonzaga,1999,78.4,65.1,15.03,2.21,27.1,57.3,0.474,18.8,36.4,0.517,8.3,20.9,0.399,15.8,21.7,0.725,12.1,25.1,37.2,16.3,8.3,3.9,14.3,18.3,112.2,93.3
UAB,1999,74.0,70.5,8.95,5.48,26.7,59.0,0.453,21.9,44.0,0.497,4.8,15.0,0.323,15.7,23.1,0.68,13.8,24.9,38.7,14.5,9.2,2.8,17.0,19.7,101.2,96.4
Siena,1999,86.6,79.8,2.04,-4.9,28.5,63.4,0.45,20.6,42.1,0.489,7.9,21.4,0.372,21.7,27.5,0.787,14.3,25.1,39.5,16.0,10.4,3.7,18.8,24.4,106.6,98.2
Weber State,1999,79.1,73.0,5.29,0.19,28.7,59.9,0.479,22.3,43.0,0.519,6.4,16.9,0.377,15.3,21.7,0.707,13.1,22.8,35.8,15.9,9.4,2.7,14.9,17.6,109.7,101.2
Alcorn State,1999,75.8,66.8,-2.76,-10.43,26.5,63.4,0.419,20.3,44.2,0.46,6.2,19.2,0.323,16.5,25.7,0.642,18.4,27.1,45.5,13.5,11.0,3.9,19.3,19.8,99.4,87.6
UTSA,1999,77.5,75.4,-6.27,-6.83,27.7,58.5,0.474,21.0,38.9,0.539,6.8,19.6,0.344,15.3,24.8,0.616,12.1,23.7,35.8,16.2,8.0,4.2,16.6,19.1,103.9,101.2
Duke,2000,88.0,71.3,25.55,8.88,30.7,63.9,0.481,22.4,42.1,0.532,8.4,21.8,0.383,18.2,24.5,0.742,13.3,25.3,38.6,17.2,9.8,5.6,14.1,16.2,115.8,93.8
Temple,2000,68.5,54.8,20.63,6.94,23.9,58.0,0.413,15.6,34.1,0.458,8.3,23.8,0.348,12.3,18.8,0.656,15.1,23.9,39.0,14.3,9.5,4.2,9.8,13.9,111.4,89.1
Oklahoma State,2000,77.1,62.3,20.01,6.59,27.4,57.2,0.479,21.1,40.8,0.517,6.4,16.4,0.386,15.8,22.6,0.701,11.6,27.0,38.6,18.9,7.6,3.6,14.2,17.0,108.9,88.0
Illinois,2000,75.8,65.6,19.73,9.6,26.1,60.2,0.433,18.8,39.8,0.474,7.2,20.4,0.354,16.4,23.8,0.688,12.4,24.4,36.8,15.6,9.3,3.7,14.3,19.3,103.8,89.9
Florida,2000,83.8,68.9,23.48,8.51,29.8,62.1,0.48,22.6,42.4,0.535,7.2,19.8,0.363,17.0,23.9,0.71,14.5,24.7,39.2,16.5,9.9,3.8,16.4,20.3,111.4,91.5
Indiana,2000,77.7,68.4,19.43,10.22,28.0,58.5,0.478,23.6,46.9,0.503,4.4,11.6,0.378,17.4,24.5,0.709,11.3,27.6,38.9,16.1,7.5,4.9,14.6,18.1,105.5,93.0
Oregon,2000,75.6,68.2,14.74,8.53,26.9,57.4,0.469,21.2,39.0,0.544,5.7,18.4,0.312,16.0,21.5,0.745,11.2,23.4,34.6,16.4,6.9,2.9,15.6,19.7,104.9,94.6
Kansas,2000,78.7,70.1,17.94,9.79,30.7,66.7,0.46,26.0,53.1,0.49,4.7,13.6,0.343,12.6,19.4,0.65,16.6,27.7,44.3,18.5,9.2,5.5,17.3,21.3,102.7,91.4
DePaul,2000,72.3,64.3,14.67,7.82,26.6,58.6,0.453,20.7,41.6,0.497,5.9,17.1,0.346,13.3,19.8,0.669,15.7,23.8,39.5,15.0,8.1,3.8,16.3,18.1,105.6,93.9
Seton Hall,2000,71.7,66.2,10.64,5.11,25.2,58.3,0.433,17.4,36.9,0.472,7.8,21.4,0.365,13.5,19.9,0.678,13.5,24.4,37.8,14.3,7.0,6.2,14.9,17.2,104.2,96.1
Pepperdine,2000,73.0,63.2,13.11,3.34,27.3,61.6,0.444,20.4,41.4,0.492,7.0,20.2,0.344,11.4,17.0,0.669,12.4,25.7,38.1,14.5,9.4,2.9,14.8,19.4,101.0,87.5
Butler,2000,68.0,55.7,12.23,0.01,24.3,51.6,0.471,19.4,38.5,0.503,4.9,13.1,0.377,14.5,21.9,0.659,10.4,23.6,34.0,13.9,7.6,2.8,12.6,16.5,105.8,86.8
Hofstra,2000,74.4,63.2,5.23,-6.03,26.7,58.5,0.456,19.4,38.3,0.508,7.3,20.2,0.359,13.8,20.1,0.687,12.6,23.7,36.3,14.0,8.7,3.9,13.4,18.2,108.4,92.0
Lafayette,2000,73.5,64.1,0.41,-8.07,25.0,55.0,0.454,16.9,34.4,0.493,8.0,20.6,0.39,15.6,21.7,0.719,11.0,24.7,35.8,15.3,10.1,3.4,16.1,18.0,104.1,90.7
Lamar,2000,62.9,65.2,-6.15,-3.83,21.7,55.6,0.39,14.7,34.9,0.421,7.0,20.7,0.336,12.5,18.3,0.686,12.3,24.1,36.4,13.2,7.3,2.8,15.7,17.1,96.5,100.1
Michigan State,2000,74.1,58.9,25.04,9.91,26.1,55.1,0.474,19.6,37.9,0.517,6.5,17.2,0.378,15.4,20.9,0.735,13.4,25.6,39.0,15.4,6.6,2.7,14.6,18.5,112.1,89.2
Iowa State,2000,78.3,65.1,19.09,7.14,28.1,57.8,0.485,22.9,43.8,0.523,5.1,14.0,0.367,17.1,24.3,0.703,12.2,26.2,38.4,15.3,7.5,3.2,14.0,15.3,110.1,91.6
Maryland,2000,76.7,68.2,17.93,9.44,28.6,61.5,0.465,23.0,45.7,0.504,5.6,15.8,0.353,13.9,20.3,0.685,13.6,25.1,38.7,19.1,10.1,6.7,16.3,18.2,103.6,92.2
Syracuse,2000,75.0,63.5,17.67,6.2,27.4,58.4,0.469,22.0,43.3,0.509,5.3,15.1,0.354,14.9,21.2,0.705,13.8,23.7,37.5,17.6,8.9,5.2,14.0,15.8,109.8,93.0
Kentucky,2000,69.1,62.8,18.52,12.71,24.0,56.8,0.423,18.3,37.3,0.492,5.7,19.5,0.292,15.3,22.3,0.688,14.3,25.1,39.4,12.9,6.1,5.6,15.2,16.3,101.6,92.5
UCLA,2000,75.5,70.3,15.29,10.11,28.8,60.1,0.48,22.6,43.4,0.522,6.2,16.7,0.371,11.6,19.8,0.587,13.5,24.4,37.9,16.5,8.5,4.4,16.6,19.0,104.4,97.2
Auburn,2000,71.3,64.4,13.59,8.2,25.7,62.3,0.413,19.0,41.9,0.455,6.7,20.4,0.327,13.2,20.1,0.655,15.7,23.6,39.3,12.9,7.3,3.2,13.2,17.1,102.9,92.9
Utah,2000,70.4,61.8,12.23,4.36,24.4,50.8,0.482,17.5,32.8,0.533,6.9,17.9,0.387,14.6,20.3,0.719,10.2,23.5,33.7,15.5,6.2,2.8,14.4,18.3,109.6,96.3
Saint Louis,2000,64.4,63.8,8.99,8.39,22.1,51.4,0.43,17.7,38.3,0.461,4.4,13.1,0.338,15.8,23.0,0.686,11.9,23.3,35.3,12.2,7.7,3.8,17.8,20.2,94.3,93.4
Creighton,2000,73.0,66.4,8.28,1.64,24.8,52.0,0.477,16.1,31.0,0.518,8.8,21.0,0.416,14.6,20.3,0.72,9.5,23.3,32.8,15.5,7.9,2.3,14.7,18.3,108.8,98.9
Ball State,2000,74.2,69.0,7.83,3.17,26.9,59.4,0.453,20.0,42.0,0.475,6.9,17.4,0.4,13.5,22.0,0.612,12.8,23.9,36.7,13.8,8.3,4.2,13.5,17.1,105.1,97.7
St. Bonaventure,2000,68.9,64.7,9.45,5.29,24.7,55.4,0.447,19.0,38.8,0.49,5.7,16.5,0.346,13.7,20.7,0.661,13.9,22.6,36.5,12.5,8.3,2.8,15.7,18.1,102.7,96.5
Samford,2000,72.6,62.4,3.2,-5.8,25.8,51.5,0.5,16.0,26.4,0.606,9.8,25.1,0.389,11.3,16.1,0.699,8.3,22.8,31.1,17.0,7.2,3.2,13.7,16.6,112.1,96.4
Iona,2000,78.8,75.9,-1.22,-4.13,27.3,60.5,0.451,22.5,46.8,0.482,4.7,13.8,0.344,19.5,26.9,0.725,14.3,26.7,41.0,17.1,7.5,7.0,18.0,19.6,102.2,98.4
Central Connecticut State,2000,73.6,63.6,0.42,-9.55,26.8,59.5,0.451,22.1,46.1,0.479,4.8,13.4,0.356,15.2,21.5,0.707,14.3,26.4,40.7,14.5,8.9,5.0,15.5,17.9,103.7,89.6
Valparaiso,2000,66.5,62.7,-2.89,-3.71,23.7,53.2,0.445,16.6,33.8,0.489,7.1,19.3,0.368,12.0,18.4,0.651,12.5,24.2,36.6,14.3,7.4,3.8,16.7,17.4,100.5,94.8
Stanford,2000,78.9,59.7,25.65,7.12,26.4,56.5,0.468,18.5,36.7,0.505,7.9,19.8,0.4,18.2,25.6,0.71,12.9,29.4,42.2,17.4,4.5,5.4,14.5,16.7,112.1,84.7
Cincinnati,2000,77.6,61.5,24.62,8.5,27.2,56.7,0.48,22.2,42.8,0.519,5.0,13.9,0.359,18.2,25.9,0.701,12.3,26.4,38.7,15.5,7.2,6.8,13.6,17.2,110.7,87.7
Ohio State,2000,72.7,61.7,17.55,6.55,26.6,58.3,0.456,21.7,43.1,0.505,4.8,15.2,0.318,14.8,21.0,0.704,12.7,24.8,37.5,12.9,6.5,6.7,12.6,17.4,106.5,90.4
Tennessee,2000,79.7,67.8,18.93,8.12,27.5,61.2,0.45,19.5,38.9,0.501,8.1,22.3,0.361,16.5,24.2,0.683,14.5,25.3,39.8,14.6,8.8,5.8,15.8,18.7,108.0,92.0
Connecticut,2000,74.6,65.3,16.93,7.58,27.3,59.2,0.462,22.1,45.5,0.484,5.3,13.6,0.386,14.7,20.2,0.728,14.5,24.8,39.2,15.1,6.6,5.1,14.1,17.0,109.3,95.6
Miami (FL),2000,69.0,62.6,11.83,5.39,25.0,58.0,0.431,21.1,45.0,0.468,3.9,12.9,0.3,15.2,20.3,0.748,14.4,23.3,37.7,14.6,8.4,3.7,14.8,18.1,100.6,91.2
Tulsa,2000,80.4,62.9,19.94,2.42,28.4,60.1,0.472,21.2,39.4,0.539,7.1,20.6,0.346,16.5,23.4,0.705,13.0,24.6,37.6,17.1,11.7,4.7,15.4,19.7,109.9,85.9
North Carolina,2000,75.4,70.2,17.0,11.8,28.2,57.4,0.491,23.5,43.7,0.537,4.7,13.7,0.343,14.4,20.6,0.7,12.1,26.6,38.7,16.9,5.8,4.9,14.9,16.1,107.9,100.5
Missouri,2000,74.3,69.9,12.55,8.22,24.9,58.8,0.423,15.5,32.8,0.472,9.4,25.9,0.362,15.1,21.3,0.71,10.8,22.7,33.5,13.7,8.9,2.0,13.3,19.4,103.5,97.5
UNLV,2000,82.2,75.0,9.74,2.52,30.0,65.9,0.455,24.6,48.9,0.503,5.4,17.0,0.316,16.9,24.8,0.681,14.9,27.1,42.0,20.1,8.5,4.5,17.7,20.2,103.6,94.5
Arkansas,2000,74.4,69.8,12.37,7.76,27.4,63.8,0.429,18.8,39.3,0.478,8.6,24.5,0.351,11.0,18.3,0.603,13.3,20.8,34.1,13.5,11.1,3.5,14.5,20.7,101.0,94.8
Utah State,2000,70.5,61.2,8.82,1.89,25.9,55.5,0.466,20.1,39.8,0.507,5.7,15.8,0.362,13.1,20.9,0.628,12.2,24.1,36.3,14.3,6.9,3.7,13.3,17.1,106.6,92.5
Appalachian State,2000,79.1,69.6,2.49,-3.75,28.6,58.8,0.486,22.3,42.7,0.523,6.3,16.1,0.388,15.6,22.0,0.709,11.7,24.3,36.0,16.7,10.2,4.0,15.8,19.6,107.6,94.7
UNC Wilmington,2000,60.1,57.5,2.41,-0.24,21.5,51.9,0.415,15.8,36.6,0.432,5.7,15.3,0.372,11.4,18.1,0.629,10.4,24.3,34.7,12.1,7.1,2.2,18.3,18.3,88.7,84.8
South Carolina State,2000,70.2,71.2,-10.41,-9.38,24.4,62.3,0.392,18.1,43.5,0.416,6.3,18.8,0.334,15.1,22.5,0.673,17.4,23.6,41.0,10.9,7.0,4.1,14.3,14.3,101.0,102.6
Arizona,2000,76.4,67.2,18.96,9.7,26.6,58.1,0.457,22.0,43.9,0.501,4.6,14.2,0.322,18.7,25.6,0.73,12.1,26.3,38.4,15.8,7.5,5.6,15.0,14.6,104.4,91.7
St. John's,2000,73.7,66.4,14.26,6.96,28.2,60.7,0.464,23.6,46.3,0.51,4.5,14.4,0.314,12.9,19.1,0.677,,,34.3,16.4,10.7,2.7,12.1,19.1,,
Oklahoma,2000,74.9,62.3,19.25,6.63,27.0,58.9,0.458,19.2,38.7,0.497,7.7,20.2,0.383,13.2,18.6,0.71,13.0,23.9,36.9,15.4,7.1,2.6,12.8,18.9,110.6,92.0
LSU,2000,75.8,62.7,18.9,5.78,26.9,55.3,0.487,21.1,38.9,0.544,5.8,16.4,0.351,16.2,25.2,0.643,13.2,27.2,40.4,14.8,9.2,5.3,17.4,16.1,106.0,87.7
Texas,2000,74.5,63.7,20.43,9.61,26.5,56.7,0.468,20.9,41.8,0.5,5.6,14.8,0.378,15.8,24.5,0.646,13.1,26.2,39.3,14.6,7.4,5.1,15.6,18.0,105.1,89.9
Purdue,2000,73.7,66.1,16.87,9.56,25.0,56.3,0.444,18.9,39.0,0.485,6.1,17.3,0.35,17.7,25.9,0.684,13.9,22.1,36.0,14.2,7.7,3.1,14.9,17.6,106.3,95.3
Louisville,2000,73.2,66.2,14.93,8.76,27.4,58.8,0.466,22.1,42.6,0.518,5.3,16.2,0.328,13.1,18.6,0.704,12.3,21.4,33.7,16.7,9.2,4.4,15.8,18.4,103.2,93.3
Wisconsin,2000,59.9,55.8,16.67,12.5,21.3,49.8,0.427,15.5,33.1,0.469,5.8,16.7,0.344,11.7,17.1,0.681,8.3,22.5,30.8,13.3,6.6,2.8,11.3,18.3,98.0,91.2
Fresno State,2000,82.3,76.7,9.17,3.58,30.0,63.7,0.471,21.8,40.4,0.54,8.2,23.4,0.351,14.1,20.0,0.703,12.4,26.1,38.5,19.2,8.3,4.7,15.0,17.6,109.9,102.5
Gonzaga,2000,77.7,66.0,16.38,4.64,27.6,57.5,0.479,20.1,37.1,0.543,7.4,20.4,0.364,15.1,22.7,0.665,11.7,26.2,37.9,16.8,5.8,4.3,13.4,18.6,112.1,95.2
Dayton,2000,71.4,64.9,9.95,3.46,24.3,56.0,0.433,17.2,36.9,0.466,7.0,19.0,0.369,15.9,22.3,0.713,14.4,22.8,37.2,13.3,6.9,2.3,13.8,18.0,108.1,98.3
Indiana State,2000,66.8,63.4,6.54,3.23,23.6,54.3,0.435,18.6,40.2,0.463,5.0,14.2,0.355,14.5,20.5,0.705,9.8,23.3,33.1,12.7,9.1,3.3,13.2,17.2,98.7,93.8
Southeast Missouri State,2000,69.5,61.6,4.41,-2.48,24.1,54.2,0.445,17.9,36.2,0.495,6.2,18.0,0.346,15.0,21.4,0.702,11.2,25.6,36.8,12.4,6.1,5.3,15.4,17.5,102.0,90.5
Winthrop,2000,73.1,64.7,-1.04,-7.41,24.4,57.3,0.426,16.1,33.9,0.474,8.4,23.4,0.358,15.9,23.9,0.664,13.1,25.9,39.0,13.5,7.2,3.5,15.8,19.5,102.8,90.9
Northern Arizona,2000,73.5,68.8,4.34,1.37,25.0,52.5,0.477,16.5,30.7,0.537,8.5,21.7,0.391,15.1,20.1,0.751,9.5,26.0,35.5,15.9,3.9,3.1,16.6,18.5,106.6,99.8
Jackson State,2000,66.8,68.2,-12.19,-10.38,23.2,56.8,0.409,20.5,45.8,0.446,2.8,11.0,0.251,17.6,27.6,0.639,16.0,24.7,40.7,12.5,7.6,5.2,19.0,20.4,91.2,93.1
