team,year,ncaa_wins,ncaa_loss,ps_per_game,pa_per_game,srs,sos,fg_per_game,fga_per_game,fg_pct,fg2_per_game,fg2a_per_game,fg2_pct,fg3_per_game,fg3a_per_game,fg3_pct,ft_per_game,fta_per_game,ft_pct,orb_per_game,drb_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,tov_per_game,pf_per_game,offensive_rating,defensive_rating
Vanderbilt,1993,"Boise State, Illinois",Temple,83.0,69.9,19.81,6.4,29.0,58.0,0.5,21.3,39.3,0.542,7.7,18.7,0.412,17.3,23.7,0.729,,,35.5,17.0,8.1,2.9,14.3,16.7,,
Georgia Tech,1993,,Southern,77.7,75.2,12.95,10.39,30.2,61.1,0.494,25.3,48.4,0.522,4.9,12.7,0.385,12.5,18.2,0.684,,,39.2,19.6,6.4,5.0,16.2,15.4,,
New Mexico,1993,,George Washington,69.8,63.2,8.97,3.3,24.8,54.2,0.457,17.1,34.5,0.496,7.7,19.7,0.39,12.6,19.8,0.636,,,34.6,14.5,6.5,4.3,12.0,15.8,,
Illinois,1993,Long Beach State,Vanderbilt,75.9,73.3,11.83,9.27,27.4,57.3,0.479,22.5,43.8,0.513,4.9,13.5,0.367,16.2,23.4,0.689,,,36.1,15.5,5.6,2.9,15.2,17.9,,
Temple,1993,"Missouri, Santa Clara, Vanderbilt",Michigan,69.2,66.5,12.92,10.23,24.8,56.9,0.436,18.9,39.7,0.475,5.9,17.2,0.346,13.7,21.4,0.64,,,34.8,10.8,8.4,3.0,10.1,15.7,,
Iowa State,1993,,UCLA,81.3,69.6,18.65,8.05,30.5,62.4,0.489,25.3,45.0,0.561,5.3,17.4,0.302,15.0,19.8,0.759,,,34.3,18.2,10.6,2.6,14.3,16.2,,
UCLA,1993,Iowa State,Michigan,78.4,76.1,11.35,9.05,29.8,59.4,0.503,26.3,49.6,0.531,3.5,9.8,0.358,15.2,22.6,0.671,,,40.4,16.0,8.1,5.5,16.4,18.8,,
Missouri,1993,,Temple,74.3,67.7,13.38,9.11,27.0,58.8,0.459,22.3,45.7,0.488,4.7,13.1,0.36,15.5,25.6,0.606,,,39.3,16.1,7.6,3.1,14.2,19.0,,
Long Beach State,1993,,Illinois,78.5,71.1,8.25,2.39,27.6,56.9,0.485,21.3,40.6,0.525,6.3,16.3,0.385,17.1,24.6,0.695,,,34.8,17.1,8.3,2.1,15.9,19.3,,
George Washington,1993,"New Mexico, Southern",Michigan,76.4,69.1,11.56,4.26,26.6,59.3,0.448,21.2,44.7,0.473,5.4,14.6,0.371,17.9,28.6,0.625,,,42.2,12.3,5.7,4.6,,21.2,,
Southern,1993,Georgia Tech,George Washington,97.1,85.5,2.0,-7.48,34.7,74.9,0.463,26.4,53.5,0.493,8.3,21.5,0.388,19.5,30.4,0.639,,,45.9,17.3,12.5,4.5,17.8,20.2,,
Boise State,1993,,Vanderbilt,75.5,69.7,0.35,-4.28,26.9,56.7,0.474,22.7,43.3,0.524,4.2,13.4,0.311,17.6,24.6,0.718,,,34.8,14.6,8.6,3.8,16.0,20.6,,
Santa Clara,1993,Arizona,Temple,68.9,66.4,1.41,0.24,23.3,54.1,0.43,17.0,36.1,0.471,6.3,18.0,0.348,16.1,23.0,0.702,,,34.7,14.5,6.5,1.6,12.8,19.8,,
Coastal Carolina,1993,,Michigan,77.8,70.9,-3.91,-7.88,27.9,58.3,0.479,21.8,43.3,0.504,6.1,15.1,0.405,15.8,22.6,0.701,,,35.7,15.0,7.8,3.8,14.1,16.4,,
